nombre,descripcion,municipio,provincia,latitud,longitud,type,tipo-comida,entorno,email,web,web_euskadi,categoria,calidad,valoracion,num_resenas,nivel_precio,url_imagen,nationalPhoneNumber
Agorregi,"El restaurante Agorregi, ubicado en el barrio de Igara de San Sebastián, ofrece un servici...",Donostia / San Sebastián,Gipuzkoa,43.30240464,-2.011846,Restauración,Restaurante,"Costa Vasca,San Sebastián",agorregi@agorregi.com,https://agorregi.com/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-agorregi/webtur00-content/es/,restaurantes,False,4.6,571.0,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places/ChIJFTHOiG2wUQ0R2glEy5Tn7Io/photos/Ab43m-tVH2yF__iGdE6ERiZJHxUd-1vGFpEcXS8sbDVqo3jnkpqGaRLggVfGf6OlRjMORH0FXqrX9VdmDl2_89UbbwZTWHmDyfl4B0SAkQbwtUOuCq1MiNkkHLAVXNSa0JpHB31OfNecIKBglTkNHt4c-advfgb_-XGoWNQvudR1MDFzHnqqt2kZP8wMNxsqaNw9TgyvloVQp_3UdXGAP2krMbvM0_csUIq1o_L7KYVBNafAUY9UUFWBTtCTwtAHYN1SOgvj-haqVv5Dc4U5HwKiorWXW41Ou1J5hZ_iwSH0wqRf_GlSZAllj3fF3NFQ8s6P4qcIAr5wle0oIi-U4lUTvHLAEnrfXf7FDI7CeorKW17QizdEf8WN2OrLxvhZCOgr39VaWEwRfv_fFQoFbKD6SIjn2wwXIFLmkuMlZtbLYDM7D-qp/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,943 22 43 28
Aizian,Este moderno y acogedor restaurante fue diseñado por el arquitecto Ricardo Legorreta y est...,Bilbao,Bizkaia,43.26751936,-2.94180662,Restauración,Restaurante,Bilbao,aizian@restaurante-aizian.com,https://www.restaurante-aizian.com/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-aizian/webtur00-content/es/,restaurantes,False,4.7,435.0,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places/ChIJdeCXzSZQTg0RRUQvXRwoCyY/photos/Ab43m-v9ReQ_IKDHctQSmNhaKX5KXUoGfkW6RwVUDEp9eSO6cKUfMJKKQUdugkFPmMwd87eWN3ahKAmtze99g0NPpQPZCpurdmQ1twsSC08n_5WSmthALH9fdxhkOMjJZ7Hg0cUs7rgU0RjayaYO9yI9DN75iVRwJo9l4iioO_KEugGqD5xJM8Y8JT8JHuk3xtBUr0f58xq1jytyEAJvFkCax_HNMdaiUKAx3bJuffP92MIp90Qj-KwgbaMCeAx7h8kY676eShukYD-YsbtShDoH8bHzhTl01K7fRpSXKGdjrrsWG3_gLd6Yxxsl4VK6c4LK5yCT3pxq-x8i5jleobrZff8ZurfIHYKMdsoTG9ebqdrInBR1VxONr6C9H7uy7mTUV0spF-FBF1-XzGNN2_9M46OD8RUxuQgGvvxDWqfpe8soS11L/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,944 28 00 39
Akelarre,Pedro Subijana desarrolla desde 1970 una cocina personal que ha convertido el Akelarre en un cl&a...,Donostia / San Sebastián,Gipuzkoa,43.3077501796958,-2.0431346731414806,Restauración,Restaurante,San Sebastián,restaurante@akelarre.net,https://www.akelarre.net,https://turismoa.euskadi.eus/es/restaurantes/restaurante-akelarre/webtur00-content/es/,restaurantes,True,4.5,1925.0,PRICE_LEVEL_VERY_EXPENSIVE,https://places.googleapis.com/v1/places/ChIJXdMPlZ6wUQ0RgkKFNtNEFXE/photos/Ab43m-vzDu1XLVbranxa9mflPDfaQ1x6L3eSupUCWmNq9XPbr5d9Bcblnigv-nd3u9Qtf5w1g069aPqdJWu5kxFiPN034BBTUnQzViOvz9ZOqnykmZJVty7H-lNuunqyhH3-RUzVVkTbJcC-wg5FBCenf0wwjIbxzy6IAxwxTwejncFx1BhxnzWgQYwFE1AqXvQpHIIteGGjJW2RDZc-Kka2CWTHu2q3sbZQ_CyHI4ho6emPFrrc4hlGhtRZ10jaCmSAykwM0FMn3g2S14d_bFXyv4Uas5w9XoeLCrhkZmzFOYkuZ5lBcTTUM-Zv0nLjL5Scb6TZgj3fBtfUIOhdinFDZDKsGgYGi5H7ug-cQ54hEP13cImS8Y3otIy3v9SBO0YJzTzVnANZyXyls3ppOnh9qZ8mko0rU1BZJaIYqPTle78jXCM/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,943 31 12 09
Alameda,La tercera generación es quien está a cargo de este negocio familiar ubicado en el ...,Hondarribia,Gipuzkoa,43.36124178,-1.79269146,Restauración,Restaurante,Costa Vasca,info@restaurantealameda.net,https://restaurantealameda.net/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-alameda/webtur00-content/es/,restaurantes,True,4.6,1098.0,PRICE_LEVEL_EXPENSIVE,https://places.googleapis.com/v1/places/ChIJfbZAHQYJUQ0RAH0yeLbrfHA/photos/Ab43m-vVw8NzWK-yYaCWuMmgK2riKNUO2WUCTWiO9JjH5PlDw5xYUIhmobdR9bfgRqTIMNCSFsornp1x4s9gf7d3jSPV3M0dbPni9vZEievLlfLoG2NWyXX2FKdqxWEs5KIgIfS7FviLti7o_2KD51ibEuuJ5Ld0p_KpK0nFdt5KdqZPXgR6hGSQzA1Lrn1wPyZRfoe-gRbDzBX-EH6KDCM7mWYdmiIzXyoX8OTWBTAYkGKs04HjBijpEdW2cFUFjcJQv-cr2vWvkRVyA2q-kt1ZQqZaVt6GHQaevhPPOf3vXeTNw9WAaVSntSvszysTOyc-HLPwTCs1M32FVoPC6QnQYnxyqHyJGEV-qIqggXEDo-d7_A_ZKF9ypA2fF2dQItkg5IsSX-M6r2TeUA1q41Zz0qvGJiXrrHlXLl1goBfV898Vksg/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,943 64 27 89
Almiketxu,Es un caserío típico vasco y está regentado por la familia Hormaetxea-Alboni...,Bermeo,Bizkaia,43.40890469,-2.73422921,Restauración,Restaurante,Costa Vasca,almiketxu@gmail.com,https://almiketxu.com/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-almiketxu/webtur00-content/es/,restaurantes,True,4.6,1924.0,PRICE_LEVEL_EXPENSIVE,https://places.googleapis.com/v1/places/ChIJZ5OGOlo-Tg0R5hbCh53vQ-c/photos/Ab43m-vqkYhU1_EJVE7Bb49eTr_4eQKo3Ve-cB02FN4KJZLecF2dBXoMzWGNSzy15pZtypey8C3QGZuI5Nv5EcetpZiru7-bPJIWoVnFJA4HKJ9ZP_B6epPweHo6xTXz8bn582F0xLX6tXX7A-mQ0xmw3AMoY9cxkiNq9IODyCw9EeG6bsQ-v1m0h10Q6g7cI48gDC36FHFQgvTJEjHzGkPtO1eqWi6vjrwEae67LlhVLPla3OW2XcW3MmePNnABOHkN0MOBjkGKZs-wE1EOKl_JzoqcwTCJA-7ErqXezU6qoS0js5s7TJW5AiS2jAuenPcKl_9W-owr44OgPQ70U4_8qWAhWIqhPXrS33jb03IA8tmAm2jHYnENHN66P8UsvnDJ3z5V94uvpkAG5VKNjhjZzMEpAyVxghDvogAX8llEQnHFKIzn0qShn8gmYsZAcF7C/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,946 88 09 25
Ameztoi,Bodega con gran tradición situada en el municipio de Getaria. Producen el txakoli a partir...,Getaria,Gipuzkoa,43.29407126000001,-2.202422972883369,Restauración,Bodega Txakoli,Costa Vasca,ameztoi@txakoliameztoi.com,https://txakoliameztoi.com/,https://turismoa.euskadi.eus/es/restaurantes/bodega-de-txakoli-ameztoi/webtur00-content/es/,"restaurantes, bodegas",False,4.5,225.0,,https://places.googleapis.com/v1/places/ChIJe75Y35XIUQ0RYtvyZZEH0IA/photos/Ab43m-vxkyRxYVqMj9jo-hcosDUeZ273-_SHkNsFFSXlta1iGY0E3FXxaBdjkPYzXlhE82qbOSLzn73f-pS7L9SV_1BfSYuq_Ed5JYVIsINDZ3XSyU5kTihC4yR2S_i0MvcV8eYqTDWc2lDQwvyI6wbHaJimudvYfuHEJd2CdInTzOW32zInGSC8hVw_Bj26ij3JrOYK9xu6OhpY0FEyop3tcHcbR7yMEjDDZ3rzZCgFFdcNKHk3LpWDXNYc-iPDMZfunFiW1oTtO-8AEGWzF3saRawIZkO42aqhdOjgGOqVPjDVPsz2yI6T5XFHiy2dzHY0qZq42MnHEaPCdRy84X5suUi7xmQ81gzlXTby0RywXDLmXNShACj6GNta3No6XYMbNAhS5QO6SAJpDnCFGtRluSifW-UDrkZLpc07ZltFIs-0cw/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,943 14 09 18
Andere,Este restaurante abrió sus puertas en 1976 y hoy en día es una referencia cl&aacute...,Vitoria-Gasteiz,Araba/Álava,42.849356605632124,-2.6795801790984797,Restauración,Restaurante,Vitoria-Gasteiz,info@restauranteandere.com,https://www.restauranteandere.com/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-andere/webtur00-content/es/,restaurantes,True,4.4,767.0,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places/ChIJiXEZ5xTCTw0R7Iri1VZVjxs/photos/Ab43m-tDlsIGDjezZfFikRvmiICXp13tZhc5NVzvbUaH_XVfcquoD7ZJ9YtxjvOB0CHbTUiCr6MR4zb_NIp0K9-9uF_taRTs4VxUNabvba-Hshp6DpoOVhGfVBylBQ5frQlZr3fQ6KSXVRyAYmHZpp60qb06eZWEZR6Q-4SRiI_ldlOydUJHfkIYibMHIuhvKyBJcWnNLyZfM6AIeiimL7r80gIuGv31RZ0UQmvg7N4t2IpHROjQyTYYaLfDZmDfLCLBwMHVzrjjC5hlfqUOzZctn3sXossTlTYA-MOn9Ztd_APuFR4o3hLGTio1W3NusHWUJHKnRcZfBHIFoQkv-k3c4hxk_ndWV3pebBty5EBkHPzEe2Tf5eg4lAfDl3CPIGN81voSoEd0hcmxJvZF5V66sZ0ZdACP2HY44PL3Y2nnikE/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,945 21 49 30
Andra Mari,Está ubicado en un hermoso caserío del siglo XIII junto a la iglesia de Andra Mari ...,Galdakao,Bizkaia,43.23503044,-2.83249703,Restauración,Restaurante,Montes y Valles vascos,andramari@andra-mari.com,https://andra-mari.com/es/index.php,https://turismoa.euskadi.eus/es/restaurantes/restaurante-andra-mari/webtur00-content/es/,restaurantes,False,4.7,1002.0,PRICE_LEVEL_EXPENSIVE,https://places.googleapis.com/v1/places/ChIJo3esY2tJTg0Rbwb9dv-FeYk/photos/Ab43m-uWqQKObv5sWsRLz-RFwxY-IrpYEHDllWdsh_yQ8dz2VfSzr-4_XVjpqHQNON_jJrDyzlGQJVAZcTKMHU0OlVH42eDB8bpgaM7t_rgl54l5QP1MNjOOLWUlFYM45OIA3HhF_ZiEhagJ2zr5hAPJUqO8VGb-1KoZhY7koOgBAyPnpXO17Fya9i5Fja7zOj2ppx8dYvz7jVhWBwPsGo5IaZmKPDXM4rUP2stuf5cLxCdvd6W_eiiMBbN9Mi_FY6TR104JshWRksCnRkTzheXlPEwpv7NXF8FMHjefmONm4Ti-VhXyduOnngqv44KBbmmkWF0At16qFP2QMPwNBPJK93RXv8BKn_KO3sF4p_-zOR5dWqNLBuddaof3ZTG0vzDLwOYrr4EB2y_P-jIPhqthsf9DHjMopq8XzQsBWFn04uYXTIKe4h8clvZhqUJlGg/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,944 56 00 05
"Arabako Txakolina, S.L.",Bodega adscrita a la Denominación de Origen Arabako Txakolina y que elabora el 95% de la p...,Amurrio,Araba/Álava,43.04132267833563,-2.9996452780335403,Restauración,Bodega Txakoli,Montes y Valles vascos,arabakotxakolina@euskalnet.net,https://www.xarmant.net/,https://turismoa.euskadi.eus/es/restaurantes/bodega-txakoli-arabako-txakolina-s-l/webtur00-content/es/,"restaurantes, bodegas",False,4.5,2.0,,,656 78 93 72
Aretxondo,Es un bello caserío vasco donde ofrecen una combinación de lo clásico y lo m...,Galdakao,Bizkaia,43.23358348966164,-2.8327792843780553,Restauración,Restaurante,Montes y Valles vascos,aretxondo@aretxondo.com,https://aretxondo.es/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-aretxondo/webtur00-content/es/,restaurantes,False,4.4,1059.0,PRICE_LEVEL_MODERATE,https://places.googleapis.com/v1/places/ChIJo3esY2tJTg0R6PdMAiX50yY/photos/Ab43m-v7ZQmQztE8Cb58zsmIwdFWG5elVZHkweESay28wzCtOJERauayWf0gWLtFn-7FJZ8MeExkH_4119i8zpixQYew5Jpa0yIqMlryTy7oYkfgMzkXvcJQhJP-K6EwWYqnvtXnOp67llWhrSloWL2q4ivfaQSDSSyxrbvCg83CSCPPHO-hMJsxBueTQ3bHeNcViAF-OE2Yjln_vIek6CL1b-58D6wJ5ttsriDHKhn_-cqMINgrBhth6c9mlbeGFwLHRjyxodhuzgXxfs1IWr7VnWAlm7ky9S7QI1BJCJdOuI3C0SDa5K5kXLSqeh33UISBpKWqZEdcVp9TuLCej9iAoanvyRimLOBVadJ7Fjp6cRiaLdJkPL95v9f1nSEhFRpgA3UckCNJlMhiJV7Xf6WxYtJteBC7O06-lNibH2HB9bdNKazK/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,944 56 76 71
